<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECA,D,20070927,000000,1.2116,1.3027,1.1269,1.1595,1278360,0
ECA,D,20070928,000000,1.1334,1.2898,1.1008,1.2571,596827,0
ECA,D,20071001,000000,1.2832,1.4004,1.2376,1.4004,269873,0
ECA,D,20071002,000000,1.4395,1.7261,1.4395,1.622,733264,0
ECA,D,20071003,000000,1.6676,1.7131,1.5438,1.5764,407335,0
ECA,D,20071004,000000,1.5764,1.6155,1.4983,1.5764,179369,0
ECA,D,20071005,000000,1.5764,1.5764,1.4591,1.5438,86062,0
ECA,D,20071008,000000,1.5764,1.5894,1.4983,1.5113,81652,0
ECA,D,20071009,000000,1.5113,1.5113,1.3939,1.4786,131230,0
ECA,D,20071010,000000,1.4461,1.4723,1.3223,1.3548,169732,0
ECA,D,20071011,000000,1.3548,1.3548,1.2964,1.3223,48809,0
ECA,D,20071012,000000,1.3223,1.3223,1.2441,1.3223,89858,0
ECA,D,20071015,000000,1.3484,1.3484,1.2376,1.2767,64470,0
ECA,D,20071016,000000,1.2571,1.3613,1.2311,1.3223,93198,0
ECA,D,20071017,000000,1.2898,1.3159,1.2571,1.2767,31209,0
ECA,D,20071018,000000,1.2637,1.2637,1.2376,1.2376,24663,0
ECA,D,20071019,000000,1.2376,1.2702,1.2246,1.2571,38371,0
ECA,D,20071022,000000,1.2571,1.2571,1.2116,1.2505,37921,0
ECA,D,20071023,000000,1.2505,1.2832,1.2246,1.2505,50981,0
ECA,D,20071024,000000,1.2571,1.2571,1.2505,1.2505,1920,0
ECA,D,20071025,000000,1.2832,1.3288,1.2571,1.2702,73160,0
ECA,D,20071026,000000,1.2702,1.4134,1.2702,1.3223,94406,0
ECA,D,20071029,000000,1.3548,1.3874,1.3353,1.3353,11202,0
ECA,D,20071030,000000,1.3679,1.3679,1.2964,1.2964,7045,0
ECA,D,20071031,000000,1.3159,1.4134,1.3159,1.4134,72656,0
ECA,D,20071102,000000,1.3548,1.3874,1.3223,1.3874,18703,0
ECA,D,20071105,000000,1.3874,1.4004,1.3353,1.4004,22219,0
ECA,D,20071106,000000,1.3874,1.4004,1.3548,1.3679,21019,0
ECA,D,20071107,000000,1.3679,1.3679,1.2246,1.2571,36198,0
ECA,D,20071108,000000,1.2571,1.2571,1.205,1.2441,62238,0
ECA,D,20071109,000000,1.2571,1.2898,1.2505,1.2767,9499,0
ECA,D,20071112,000000,1.2441,1.3288,1.2116,1.2767,53878,0
ECA,D,20071113,000000,1.2571,1.2571,1.2116,1.2505,24686,0
ECA,D,20071114,000000,1.2311,1.2311,1.2311,1.2311,21,0
ECA,D,20071115,000000,1.2311,1.2311,1.153,1.153,53662,0
ECA,D,20071116,000000,1.153,1.153,1.1074,1.1465,59575,0
ECA,D,20071119,000000,1.1465,1.153,1.1204,1.1204,18651,0
ECA,D,20071120,000000,1.1139,1.1139,0.9837,1.0487,41020,0
ECA,D,20071121,000000,1.0682,1.0682,1.0226,1.0682,9210,0
ECA,D,20071122,000000,1.0421,1.0879,0.9575,1.0879,63520,0
ECA,D,20071123,000000,1.0682,1.0748,1.0421,1.0748,15390,0
ECA,D,20071126,000000,1.0879,1.14,1.0879,1.1008,14667,0
ECA,D,20071127,000000,1.0748,1.1465,1.0553,1.1008,48005,0
ECA,D,20071128,000000,1.2505,1.2505,1.1726,1.2116,38445,0
ECA,D,20071129,000000,1.2311,1.2505,1.2246,1.2246,10043,0
ECA,D,20071130,000000,1.2702,1.3159,1.2571,1.2964,43548,0
ECA,D,20071203,000000,1.3288,1.3679,1.2571,1.3679,38595,0
ECA,D,20071204,000000,1.3744,1.3874,1.3418,1.3744,19454,0
ECA,D,20071205,000000,1.3679,1.3809,1.2964,1.3809,22511,0
ECA,D,20071206,000000,1.4917,1.622,1.4917,1.5894,283985,0
ECA,D,20071207,000000,1.6545,1.9542,1.622,1.7001,247495,0
ECA,D,20071210,000000,1.7587,1.7783,1.7131,1.7718,162230,0
ECA,D,20071211,000000,1.7783,1.7783,1.6285,1.7587,111617,0
ECA,D,20071212,000000,1.7131,1.7913,1.5764,1.6545,52669,0
ECA,D,20071213,000000,1.6676,1.7001,1.5764,1.6611,79591,0
ECA,D,20071214,000000,1.7652,1.7783,1.5764,1.6676,61025,0
ECA,D,20071217,000000,1.6676,1.6676,1.5438,1.6024,57923,0
ECA,D,20071218,000000,1.6545,1.7652,1.4786,1.7131,90471,0
ECA,D,20071219,000000,1.7326,2.1886,1.7326,2.1886,439216,0
ECA,D,20071220,000000,2.2016,2.2016,2.0129,2.2016,187605,0
ECA,D,20071221,000000,2.2016,2.4556,2.1104,2.2668,247233,0
ECA,D,20071227,000000,2.3255,2.3384,2.2278,2.3255,64747,0
ECA,D,20071228,000000,2.2342,2.3255,2.13,2.1365,90639,0
ECA,D,20080102,000000,1.9217,2.1886,1.9217,2.0453,44286,0
ECA,D,20080103,000000,2.0453,2.0453,1.7326,1.8889,138883,0
ECA,D,20080104,000000,1.9346,1.9477,1.7913,1.8565,59335,0
ECA,D,20080107,000000,1.7913,1.7913,1.674,1.7326,133321,0
ECA,D,20080108,000000,1.7001,1.9477,1.6806,1.9217,133757,0
ECA,D,20080109,000000,1.902,1.902,1.7326,1.7326,142089,0
ECA,D,20080110,000000,1.7066,1.7196,1.6415,1.6676,30850,0
ECA,D,20080111,000000,1.6806,1.8238,1.622,1.7326,99714,0
ECA,D,20080114,000000,1.7261,1.7326,1.5959,1.6611,76486,0
ECA,D,20080115,000000,1.6806,1.7326,1.5113,1.6349,75147,0
ECA,D,20080116,000000,1.5047,1.5438,1.3874,1.5113,108430,0
ECA,D,20080117,000000,1.5503,1.6349,1.4852,1.5894,56848,0
ECA,D,20080118,000000,1.5764,1.6871,1.5764,1.6089,46205,0
ECA,D,20080121,000000,1.5764,1.6024,1.5113,1.5113,56810,0
ECA,D,20080122,000000,1.4723,1.6611,1.4656,1.6545,127811,0
ECA,D,20080123,000000,1.6611,1.8173,1.6415,1.6937,117252,0
ECA,D,20080124,000000,1.7522,1.8173,1.7001,1.7522,66579,0
ECA,D,20080125,000000,1.7522,1.7522,1.6024,1.7261,43034,0
ECA,D,20080128,000000,1.7196,1.7196,1.6089,1.6676,34076,0
ECA,D,20080129,000000,1.6545,1.6806,1.622,1.6676,42103,0
ECA,D,20080130,000000,1.674,1.6806,1.6285,1.6676,38843,0
ECA,D,20080131,000000,1.6285,1.6611,1.6024,1.622,11022,0
ECA,D,20080201,000000,1.622,1.7261,1.622,1.7261,85863,0
ECA,D,20080204,000000,1.7326,1.7652,1.6871,1.6871,23995,0
ECA,D,20080205,000000,1.7001,1.7587,1.6676,1.7326,54109,0
ECA,D,20080206,000000,1.6349,1.7001,1.6349,1.6676,20595,0
ECA,D,20080207,000000,1.6415,1.6871,1.6415,1.6676,8319,0
ECA,D,20080208,000000,1.6676,1.6676,1.622,1.6676,16224,0
ECA,D,20080211,000000,1.6676,1.6676,1.6155,1.6611,16769,0
ECA,D,20080212,000000,1.6155,1.6545,1.5894,1.6349,22823,0
ECA,D,20080213,000000,1.5959,1.622,1.5567,1.6155,29050,0
ECA,D,20080214,000000,1.6024,1.6806,1.5764,1.6611,19200,0
ECA,D,20080215,000000,1.622,1.6676,1.5894,1.6676,17155,0
ECA,D,20080218,000000,1.6349,1.7652,1.6349,1.7456,35275,0
ECA,D,20080219,000000,1.7326,1.9671,1.7326,1.8889,199523,0
