<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GX1,D,20200904,000000,51.9,53.9,38.11,43,204137,0
GX1,D,20200907,000000,42.9,44.96,34.7,34.7,39682,0
GX1,D,20200908,000000,35,35,22.4,26.9,58965,0
GX1,D,20200909,000000,25.88,34,23.8,34,60183,0
GX1,D,20200910,000000,34.5,35.8,29.61,31.11,25445,0
GX1,D,20200911,000000,31.14,32.4,29.8,30.1,8686,0
GX1,D,20200914,000000,29.1,31.1,27,28,18220,0
GX1,D,20200915,000000,29.2,29.65,26.2,27.01,21692,0
GX1,D,20200916,000000,27.5,27.5,25.5,26.8,13383,0
GX1,D,20200917,000000,27.195,31.45,26.1,28.285,32404,0
GX1,D,20200918,000000,29.545,29.545,27.205,27.3,9941,0
GX1,D,20200921,000000,28.5,29.48,26,26,41592,0
GX1,D,20200922,000000,27,27.2,25,26,16622,0
GX1,D,20200923,000000,26,27.8,24.05,26.775,22182,0
GX1,D,20200924,000000,26.695,28.9,25.5,27.37,8725,0
