<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP,D,20120927,000000,2.2437,3.223,2.2437,3.223,17837,0
ICP,D,20120928,000000,3.8029,4.088,2.4529,3.0232,10283,0
ICP,D,20121001,000000,3.0043,3.0043,2.2437,2.2437,1951,0
ICP,D,20121002,000000,2.2437,2.567,2.2437,2.2437,9280,0
ICP,D,20121003,000000,2.2437,2.662,2.2437,2.662,721,0
ICP,D,20121004,000000,2.6144,2.6144,2.567,2.567,484,0
ICP,D,20121005,000000,2.5004,2.5004,2.4433,2.4433,346,0
ICP,D,20121008,000000,2.4433,2.4433,2.4433,2.4433,389,0
ICP,D,20121009,000000,2.3768,2.6049,2.3578,2.3578,1903,0
ICP,D,20121010,000000,2.3578,2.3578,2.3578,2.3578,111,0
ICP,D,20121011,000000,2.3578,2.3578,2.3578,2.3578,168,0
ICP,D,20121012,000000,2.3578,2.3578,2.3578,2.3578,5,0
ICP,D,20121015,000000,2.3578,2.3578,2.3578,2.3578,10,0
ICP,D,20121016,000000,2.3578,2.3578,2.3578,2.3578,5,0
ICP,D,20121017,000000,2.3578,2.3578,2.2817,2.3292,1683,0
ICP,D,20121018,000000,2.3292,2.3292,2.3292,2.3292,10,0
ICP,D,20121019,000000,2.3292,2.3292,2.3292,2.3292,10,0
ICP,D,20121022,000000,2.3292,2.4529,2.3292,2.4529,652,0
ICP,D,20121023,000000,2.5194,2.5194,2.5194,2.5194,22,0
ICP,D,20121024,000000,2.567,2.662,2.567,2.567,1025,0
ICP,D,20121025,000000,2.681,2.681,2.681,2.681,192,0
ICP,D,20121026,000000,2.662,2.662,2.6144,2.6144,421,0
ICP,D,20121030,000000,2.6144,2.6144,2.4624,2.4624,983,0
ICP,D,20121102,000000,2.4624,2.4624,2.4148,2.4148,679,0
ICP,D,20121105,000000,2.3768,2.3768,2.2913,2.2913,353,0
ICP,D,20121106,000000,2.2437,2.2437,2.2437,2.2437,105,0
ICP,D,20121107,000000,2.2437,2.2437,2.2437,2.2437,10,0
ICP,D,20121108,000000,2.2437,2.2437,2.2437,2.2437,1075,0
ICP,D,20121109,000000,2.2437,2.3768,2.2437,2.3768,643,0
ICP,D,20121119,000000,2.3768,2.3768,2.3768,2.3768,10,0
ICP,D,20121120,000000,2.3768,2.3768,2.2627,2.2627,305,0
ICP,D,20121122,000000,2.2437,2.2437,2.2437,2.2437,10,0
ICP,D,20121123,000000,2.2437,2.2437,2.2437,2.2437,10,0
ICP,D,20121126,000000,2.2437,2.3768,2.2437,2.3768,465,0
ICP,D,20121127,000000,2.4148,2.4718,2.4148,2.4718,526,0
ICP,D,20121128,000000,2.5194,2.6049,2.5194,2.6049,526,0
ICP,D,20121130,000000,2.662,2.662,2.662,2.662,22,0
ICP,D,20121203,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121204,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121205,000000,2.662,2.662,2.662,2.662,7,0
ICP,D,20121206,000000,2.662,2.662,2.662,2.662,7,0
ICP,D,20121207,000000,2.662,2.662,2.662,2.662,5,0
ICP,D,20121210,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121211,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121212,000000,2.662,2.662,2.662,2.662,11,0
ICP,D,20121213,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121214,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121217,000000,2.662,2.662,2.662,2.662,10,0
ICP,D,20121218,000000,2.662,2.662,2.662,2.662,210,0
ICP,D,20121219,000000,2.662,2.662,2.662,2.662,1942,0
ICP,D,20130129,000000,2.7571,3.1373,2.7571,3.1373,884,0
ICP,D,20130130,000000,3.3275,3.6127,3.3275,3.6127,105,0
ICP,D,20130131,000000,3.8029,4.2782,3.7078,3.7078,379,0
ICP,D,20130314,000000,3.993,3.993,3.993,3.993,52,0
ICP,D,20130321,000000,4.1832,4.2782,4.1832,4.2782,526,0
ICP,D,20130322,000000,4.2782,4.2782,4.2782,4.2782,5,0
ICP,D,20130325,000000,4.2782,4.2782,4.2782,4.2782,5,0
ICP,D,20130326,000000,4.2782,4.2782,4.2782,4.2782,5,0
ICP,D,20130327,000000,4.2782,4.2782,4.2782,4.2782,10,0
ICP,D,20130328,000000,4.2782,4.2782,4.2782,4.2782,5,0
ICP,D,20130412,000000,4.1832,4.1832,4.1832,4.1832,1,0
ICP,D,20130423,000000,4.1832,4.1832,4.1832,4.1832,10,0
ICP,D,20130424,000000,4.1832,4.1832,4.1832,4.1832,10,0
ICP,D,20130425,000000,4.1832,4.1832,4.1832,4.1832,10,0
ICP,D,20130426,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130429,000000,4.1832,4.1832,4.1832,4.1832,10,0
ICP,D,20130430,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130502,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130506,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130507,000000,4.1832,4.1832,4.1832,4.1832,6,0
ICP,D,20130508,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130509,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130510,000000,4.1832,4.1832,4.1832,4.1832,5,0
ICP,D,20130514,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130516,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130517,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130520,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130521,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130522,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130523,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130524,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130527,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130528,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130529,000000,4.088,4.088,4.088,4.088,4,0
ICP,D,20130531,000000,4.088,4.088,4.088,4.088,5,0
ICP,D,20130607,000000,4.2782,4.2782,4.2782,4.2782,22,0
ICP,D,20130611,000000,4.3733,4.3733,4.3733,4.3733,22,0
ICP,D,20130612,000000,4.3733,4.3733,4.3733,4.3733,5,0
ICP,D,20130613,000000,4.3733,4.3733,4.3733,4.3733,5,0
ICP,D,20130614,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130617,000000,4.3733,4.3733,4.3733,4.3733,10,0
ICP,D,20130618,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130619,000000,4.3733,4.3733,4.3733,4.3733,2,0
ICP,D,20130620,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130621,000000,4.3733,4.3733,4.3733,4.3733,2,0
ICP,D,20130624,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130625,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130626,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130627,000000,4.3733,4.3733,4.3733,4.3733,3,0
ICP,D,20130628,000000,4.3733,4.3733,4.3733,4.3733,2,0
ICP,D,20130701,000000,4.4208,4.4208,4.4208,4.4208,5,0
ICP,D,20130702,000000,4.4208,4.4208,4.4208,4.4208,3,0
ICP,D,20130704,000000,4.4208,4.4208,4.4208,4.4208,2,0
ICP,D,20130708,000000,4.4208,4.4208,4.4208,4.4208,3,0
ICP,D,20130709,000000,4.4208,4.4208,4.4208,4.4208,5,0
ICP,D,20130711,000000,4.4208,4.4208,4.4208,4.4208,3,0
