<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20181218,000000,21.5,25,19,20,29503,0
MOV,D,20181219,000000,21,21,18.18,18.19,6439,0
MOV,D,20181220,000000,18.19,18.19,16.4,17.8,2741,0
MOV,D,20181221,000000,17,19.44,17,19.44,2030,0
MOV,D,20181227,000000,19.9,19.9,18.1,18.44,1293,0
MOV,D,20181228,000000,18.35,18.9,17.8,18.8,1621,0
MOV,D,20190102,000000,19.15,19.15,18,18.9,365,0
MOV,D,20190103,000000,18.89,18.89,18,18.69,740,0
MOV,D,20190104,000000,18.69,18.69,18,18,1048,0
MOV,D,20190107,000000,18,18.48,18,18.46,992,0
MOV,D,20190108,000000,18.46,18.46,17.8,18.44,318,0
MOV,D,20190109,000000,18.4,18.69,18,18.69,523,0
MOV,D,20190110,000000,18.46,18.68,18.46,18.68,35,0
MOV,D,20190111,000000,18.03,18.63,17.9,18.63,797,0
MOV,D,20190114,000000,18.1,18.55,18.03,18.55,873,0
MOV,D,20190115,000000,18.57,18.88,18.3,18.84,1836,0
MOV,D,20190116,000000,18.83,18.9,18.5,18.9,1153,0
MOV,D,20190117,000000,18.7,19,18.7,19,2330,0
MOV,D,20190118,000000,19,20.8,19,20.43,8457,0
MOV,D,20190121,000000,20.5,21.5,20.43,21.28,1880,0
MOV,D,20190122,000000,21.1,21.3,20.44,20.8,1015,0
MOV,D,20190123,000000,20.8,21.08,19.16,21,2920,0
MOV,D,20190124,000000,21.05,22.5,21.05,22.2,1799,0
MOV,D,20190125,000000,22,26.4,22,24.9,6678,0
MOV,D,20190128,000000,24.88,27.2,23.55,25.9,8326,0
MOV,D,20190129,000000,25.98,28,25,28,10702,0
MOV,D,20190130,000000,27.8,28.5,26.65,27,3936,0
MOV,D,20190131,000000,26.65,26.75,25,26.5,5192,0
MOV,D,20190201,000000,26.5,26.5,25.5,25.99,2774,0
MOV,D,20190204,000000,26,26.9,25.99,25.99,2770,0
MOV,D,20190205,000000,25.7,26.8,25.5,26.79,1079,0
MOV,D,20190206,000000,27.25,27.3,26.45,27.25,1719,0
MOV,D,20190207,000000,27.25,27.25,25.5,26.99,1308,0
MOV,D,20190208,000000,25.44,26.29,25.4,26.29,773,0
MOV,D,20190211,000000,26.29,26.29,25.45,26,828,0
MOV,D,20190212,000000,25.4,26.68,25,26.68,925,0
MOV,D,20190213,000000,26.68,26.68,22.27,26.19,946,0
MOV,D,20190214,000000,26.59,28.54,26.15,26.6,12788,0
MOV,D,20190215,000000,26.6,28.22,26.2,28.22,3808,0
MOV,D,20190218,000000,28.62,28.62,27.7,27.75,1413,0
MOV,D,20190219,000000,28,28.5,27,28.5,2387,0
MOV,D,20190220,000000,28.2,29.6,28.1,29,8137,0
MOV,D,20190221,000000,28.83,28.83,28.06,28.83,480,0
MOV,D,20190222,000000,28.2,29,28.2,29,222,0
MOV,D,20190225,000000,28.99,28.99,28.5,28.99,371,0
MOV,D,20190226,000000,28.96,28.96,28,28.4,631,0
MOV,D,20190227,000000,28.12,28.3,27.32,28,362,0
MOV,D,20190228,000000,28,28,27.21,28,462,0
MOV,D,20190301,000000,28,28.38,27.62,28.38,2190,0
MOV,D,20190304,000000,28.38,30,28,28,2035,0
MOV,D,20190305,000000,28.4,28.5,28,28.5,975,0
MOV,D,20190306,000000,28.5,28.66,28.15,28.6,878,0
MOV,D,20190307,000000,28.4,28.4,27.57,28,243,0
MOV,D,20190308,000000,28.15,28.15,27.5,27.99,1033,0
MOV,D,20190311,000000,28,30.9,27.95,29.99,18200,0
MOV,D,20190312,000000,30.4,33.34,30,32.8,13185,0
MOV,D,20190313,000000,33.5,33.5,31,31.32,4434,0
MOV,D,20190314,000000,31.4,33.2,30.6,31,6945,0
MOV,D,20190315,000000,31.8,33.195,31.25,32.98,6872,0
MOV,D,20190318,000000,32.5,32.88,32,32.88,1523,0
MOV,D,20190319,000000,32.88,32.88,30.55,32.4,5151,0
MOV,D,20190320,000000,32,32,30.24,30.96,2488,0
MOV,D,20190321,000000,30.97,31.4,30.97,31.4,708,0
MOV,D,20190322,000000,30.81,30.81,29.5,30.7,2844,0
MOV,D,20190325,000000,30.98,30.98,29.16,30,1141,0
MOV,D,20190326,000000,30,31.6,29.21,31.6,1697,0
MOV,D,20190327,000000,31.3,31.3,29.45,29.99,1106,0
MOV,D,20190328,000000,29.9,30.78,29.51,30.2,1477,0
MOV,D,20190329,000000,30.3,31.2,29.78,30.2,1056,0
MOV,D,20190401,000000,30.2,30.2,28.8,29.3,4530,0
MOV,D,20190402,000000,29.6,29.6,28.1,28.5,5760,0
MOV,D,20190403,000000,31,31,27,28.3,15758,0
MOV,D,20190404,000000,28.7,28.7,27.5,28.4,4370,0
MOV,D,20190405,000000,28.4,28.4,27.6,28.4,3916,0
MOV,D,20190408,000000,28,28.6,27.6,28.3,2859,0
MOV,D,20190409,000000,27.8,29.9,27.8,29,4408,0
MOV,D,20190410,000000,29.5,29.5,29,29.2,406,0
MOV,D,20190411,000000,29.4,29.5,28.5,28.5,3139,0
MOV,D,20190412,000000,28.6,28.8,27,28.2,2395,0
MOV,D,20190415,000000,27.7,28.2,27.7,28.2,407,0
MOV,D,20190416,000000,27.8,28.1,27.6,28.1,1043,0
MOV,D,20190417,000000,28,28,27.6,27.6,2181,0
MOV,D,20190418,000000,27.7,28,27.3,28,1419,0
MOV,D,20190423,000000,28,28.8,28,28.8,1640,0
MOV,D,20190424,000000,28.5,28.6,28.4,28.6,381,0
MOV,D,20190425,000000,28.7,29.5,27.5,27.5,1040,0
MOV,D,20190426,000000,29.4,30,28.5,29.3,2516,0
MOV,D,20190429,000000,29.5,29.6,29,29.6,566,0
MOV,D,20190430,000000,29.6,30.7,29,30.7,1677,0
MOV,D,20190502,000000,30,30.7,29.1,30,637,0
MOV,D,20190506,000000,30,31.2,29,31.2,2707,0
MOV,D,20190507,000000,31.2,31.8,29.9,30.2,3616,0
MOV,D,20190508,000000,30.2,31.3,30.1,31,1294,0
MOV,D,20190509,000000,31.5,31.5,30.5,31.3,1932,0
MOV,D,20190510,000000,31.5,31.8,30.4,30.4,835,0
MOV,D,20190513,000000,31,31.3,31,31,614,0
MOV,D,20190514,000000,30.2,31.5,30,30.9,1932,0
MOV,D,20190515,000000,30.9,30.9,28.8,30.2,1653,0
MOV,D,20190516,000000,31,31,29,30.1,1061,0
MOV,D,20190517,000000,29.8,29.8,29,29.7,313,0
MOV,D,20190520,000000,30,30,28.2,28.7,1114,0
MOV,D,20190521,000000,28.8,28.8,26.6,28.4,1266,0
MOV,D,20190522,000000,28.2,28.9,27.4,28.9,596,0
MOV,D,20190523,000000,27.6,28,26.7,27.8,1041,0
MOV,D,20190524,000000,26.9,29.1,26.5,28.6,2881,0
MOV,D,20190527,000000,28.6,28.6,27.5,28,947,0
MOV,D,20190528,000000,28,28,27,27.8,1175,0
MOV,D,20190529,000000,26.9,27.7,26.9,27.7,358,0
MOV,D,20190530,000000,27.6,27.9,27,27.9,1341,0
MOV,D,20190531,000000,27.9,27.9,26.9,27.6,1639,0
MOV,D,20190603,000000,27.2,27.2,26.9,26.9,441,0
MOV,D,20190604,000000,27,27,26,27,529,0
MOV,D,20190605,000000,26.8,27,26.6,27,261,0
MOV,D,20190606,000000,26.7,26.7,26.2,26.5,914,0
MOV,D,20190607,000000,26.1,26.9,25.9,26.8,3649,0
MOV,D,20190610,000000,26.3,26.9,25.7,26.3,2559,0
MOV,D,20190611,000000,26,26.5,24.2,26.4,1462,0
MOV,D,20190612,000000,26.4,26.4,24.2,24.4,1896,0
MOV,D,20190613,000000,25,26.6,24.2,25.8,1297,0
MOV,D,20190614,000000,24.3,25.8,24.3,25.3,1027,0
MOV,D,20190617,000000,25.3,25.8,25,25.5,902,0
MOV,D,20190618,000000,25.5,25.9,25,25.9,1391,0
MOV,D,20190619,000000,25.5,26,25.1,25.1,1639,0
MOV,D,20190621,000000,26.5,26.5,24.8,25.5,2289,0
MOV,D,20190624,000000,25,25,24.5,25,985,0
MOV,D,20190625,000000,24.9,24.9,24.4,24.8,1129,0
MOV,D,20190626,000000,24.4,25.4,24.2,24.8,788,0
MOV,D,20190627,000000,24.3,25,24.3,25,406,0
MOV,D,20190628,000000,25.00,26.70,25.00,25.70,2087,0
MOV,D,20190701,000000,25.8,26.7,25.7,26.6,1259,0
MOV,D,20190702,000000,26.6,26.7,26,26,974,0
MOV,D,20190703,000000,26,26.7,25.8,26.7,548,0
MOV,D,20190704,000000,26.4,27,26,27,1899,0
MOV,D,20190705,000000,27,28.5,26.9,27.5,2071,0
MOV,D,20190708,000000,28.5,28.9,28,28.5,2500,0
MOV,D,20190709,000000,27.9,29,27.6,27.8,231,0
MOV,D,20190710,000000,27.6,28,26.1,27.8,860,0
MOV,D,20190711,000000,27.9,27.9,26.5,27,1585,0
MOV,D,20190712,000000,27,27,26.5,27,249,0
MOV,D,20190715,000000,28,28,27,27.4,1122,0
MOV,D,20190716,000000,27,27,26.5,27,665,0
MOV,D,20190717,000000,27,27.4,27,27.4,770,0
MOV,D,20190718,000000,27.4,27.4,27,27,849,0
MOV,D,20190719,000000,27,28.5,26.5,28,2221,0
MOV,D,20190722,000000,27.5,28.1,27,28.1,480,0
MOV,D,20190723,000000,28.1,28.2,27.9,28.2,706,0
MOV,D,20190724,000000,28.4,29,28.3,29,390,0
MOV,D,20190725,000000,29,29.7,29,29.7,1719,0
MOV,D,20190726,000000,29.7,29.7,28.4,29.7,1026,0
MOV,D,20190729,000000,29,29.6,28.6,29.4,1252,0
MOV,D,20190730,000000,29,29.6,28.7,29.3,2926,0
MOV,D,20190731,000000,29.5,29.5,29.3,29.5,1778,0
MOV,D,20190801,000000,29.5,29.5,28.7,29,1249,0
MOV,D,20190802,000000,29,29,28.4,29,1167,0
MOV,D,20190805,000000,28.4,29,28.1,29,1546,0
MOV,D,20190806,000000,29,29,28.8,28.9,268,0
MOV,D,20190807,000000,28.9,28.9,27.9,28.6,1752,0
MOV,D,20190808,000000,28.1,28.1,27,27.5,3838,0
MOV,D,20190809,000000,27.5,27.5,26.5,27.5,1857,0
MOV,D,20190812,000000,27.5,27.5,26.6,27,999,0
MOV,D,20190813,000000,27.4,27.4,26.3,27.4,502,0
MOV,D,20190814,000000,27.4,27.4,26.5,27.4,326,0
MOV,D,20190816,000000,27,27.4,26.8,27.4,1299,0
MOV,D,20190819,000000,27.4,27.4,26,27.2,627,0
MOV,D,20190820,000000,27.2,27.4,27.2,27.3,352,0
MOV,D,20190821,000000,27.4,28.1,27.1,27.5,1744,0
MOV,D,20190822,000000,27.8,28.8,27.6,28.5,922,0
MOV,D,20190823,000000,28.5,28.8,28.1,28.8,1621,0
MOV,D,20190826,000000,28.1,28.8,28.1,28.8,515,0
MOV,D,20190827,000000,29,29.7,29,29.5,1986,0
MOV,D,20190828,000000,29.7,31,29.6,30.5,2715,0
MOV,D,20190829,000000,30.6,30.7,29.4,30.5,646,0
MOV,D,20190830,000000,29.7,30.5,29.7,30.5,1866,0
MOV,D,20190902,000000,30.5,35.2,30.4,32.2,7898,0
MOV,D,20190903,000000,33,33.4,32,32,7772,0
MOV,D,20190904,000000,32.6,32.8,31.5,32.8,1975,0
MOV,D,20190905,000000,35.1,35.1,32.6,33.5,2626,0
MOV,D,20190906,000000,33.6,34.5,32.8,33.5,523,0
MOV,D,20190909,000000,32.6,33.2,32,33.2,1156,0
MOV,D,20190910,000000,33.2,33.2,32,32.1,1065,0
MOV,D,20190911,000000,32,36.2,31.1,34.8,9900,0
MOV,D,20190912,000000,34,35.9,34,35,3828,0
MOV,D,20190913,000000,35,35.6,34,35.4,4100,0
MOV,D,20190916,000000,37.5,38.7,36.6,37.6,10611,0
MOV,D,20190917,000000,39.8,39.9,38.4,39.4,3669,0
MOV,D,20190918,000000,39.4,39.4,38.3,39.2,1909,0
MOV,D,20190919,000000,40,40,38,38.9,1176,0
MOV,D,20190920,000000,38.9,39.6,37.6,38.7,1848,0
MOV,D,20190923,000000,38.8,39,38,38.5,3399,0
MOV,D,20190924,000000,39,39,37,38.6,1264,0
MOV,D,20190925,000000,39.3,39.5,38.5,39.4,1026,0
MOV,D,20190926,000000,38.9,39.5,38.5,38.5,435,0
MOV,D,20190927,000000,38.5,38.5,36.2,37.2,4116,0
MOV,D,20190930,000000,37.2,37.2,34.5,35.9,3715,0
MOV,D,20191001,000000,36,37.6,35.5,36.8,1952,0
MOV,D,20191002,000000,35.7,35.9,33.5,34.7,3900,0
MOV,D,20191003,000000,36,36,33.4,34.5,2003,0
MOV,D,20191004,000000,34.5,34.5,33.2,33.6,1539,0
MOV,D,20191007,000000,34,34,32.9,33.5,2948,0
MOV,D,20191008,000000,34.5,34.5,33.3,34,3076,0
MOV,D,20191009,000000,34.7,34.7,32.3,33.5,5738,0
MOV,D,20191010,000000,33.2,33.7,32.1,33.7,2177,0
MOV,D,20191011,000000,33.7,35,33.7,35,837,0
MOV,D,20191014,000000,36,36,32.8,34.9,2270,0
MOV,D,20191015,000000,34.9,37,34.9,35.6,3509,0
MOV,D,20191016,000000,35,35.1,33.6,34.7,2522,0
MOV,D,20191017,000000,34,35,33,33.5,2688,0
MOV,D,20191018,000000,31.5,31.5,27.6,29.9,10806,0
MOV,D,20191021,000000,29,31.5,29,30.9,9786,0
MOV,D,20191022,000000,30.1,32.4,30.1,31.5,5642,0
MOV,D,20191023,000000,31.4,32.7,31.4,32.7,2123,0
MOV,D,20191024,000000,33,33,30.5,31.8,2143,0
MOV,D,20191025,000000,30.1,31.1,29.4,30.8,3374,0
MOV,D,20191028,000000,30.8,30.8,29.2,30,2939,0
MOV,D,20191029,000000,29.8,29.8,28.1,29,4591,0
MOV,D,20191030,000000,29.4,29.4,27,27.8,3111,0
MOV,D,20191031,000000,27.6,27.6,26.3,27,2733,0
MOV,D,20191104,000000,26.5,27.8,26.1,27.8,2737,0
MOV,D,20191105,000000,27.8,30,27.8,29.6,3847,0
MOV,D,20191106,000000,30.1,30.2,28.1,29.5,3612,0
MOV,D,20191107,000000,29.5,29.5,28.7,29,227,0
MOV,D,20191108,000000,28.7,29,28.7,29,262,0
MOV,D,20191112,000000,29,29.6,27.7,28.8,626,0
MOV,D,20191113,000000,29,29,27.7,29,1287,0
MOV,D,20191114,000000,29,29.9,29,29.9,372,0
MOV,D,20191115,000000,29.9,29.9,29.9,29.9,50,0
MOV,D,20191118,000000,29.9,29.9,28.8,29.9,279,0
MOV,D,20191119,000000,29.7,29.7,27.5,29.3,1481,0
MOV,D,20191120,000000,29.3,30,28.3,29.1,1055,0
MOV,D,20191121,000000,29,29.5,28.2,29,1062,0
MOV,D,20191122,000000,28.1,28.9,28.1,28.9,678,0
MOV,D,20191125,000000,28.5,29,27.7,28.5,712,0
MOV,D,20191126,000000,28,28.7,28,28.5,355,0
MOV,D,20191127,000000,28.1,29,28.1,28.9,366,0
MOV,D,20191128,000000,28.9,28.9,28.9,28.9,16,0
MOV,D,20191129,000000,28.9,29,28.3,29,215,0
MOV,D,20191202,000000,29,29,28.3,29,152,0
MOV,D,20191203,000000,29,31.4,29,30.9,2915,0
MOV,D,20191204,000000,30.2,31.6,29.6,30,2170,0
MOV,D,20191205,000000,29.4,30,28,29.4,4268,0
MOV,D,20191206,000000,28.6,29.5,28.6,29.5,578,0
MOV,D,20191209,000000,29.8,29.9,28.7,28.7,651,0
MOV,D,20191210,000000,28.9,30,28.9,30,933,0
MOV,D,20191211,000000,30,30,28.7,29.4,2670,0
MOV,D,20191212,000000,30,30,28.5,29.3,7052,0
MOV,D,20191213,000000,29.7,30.2,28.9,29.5,6798,0
MOV,D,20191216,000000,29.5,29.5,28.7,29.2,1871,0
MOV,D,20191217,000000,29.5,29.9,29.4,29.6,1413,0
MOV,D,20191218,000000,29,29.2,28.8,29.2,4627,0
