<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDG,D,20200818,000000,87.3,104.7,85.1,104.7,120463,0
PDG,D,20200819,000000,109,150,109,140,76910,0
PDG,D,20200820,000000,147.8,174.5,135,146,71080,0
PDG,D,20200821,000000,149,152,119.22,128,54109,0
PDG,D,20200824,000000,127,127,81.03,84.03,120983,0
PDG,D,20200825,000000,80.4,97.9,75,79.1,80030,0
PDG,D,20200826,000000,81.2,86.6,78.4,79.99,19706,0
PDG,D,20200827,000000,80,82,71.5,74.61,23646,0
PDG,D,20200828,000000,77.79,77.79,71.02,71.61,11208,0
PDG,D,20200831,000000,72.5,77.59,72.5,73.9,5027,0
PDG,D,20200901,000000,74.9,74.99,69.9,72.8,5752,0
PDG,D,20200902,000000,72,76.99,65.02,75.01,13887,0
PDG,D,20200903,000000,76.1,86,75,75,18668,0
PDG,D,20200904,000000,73.23,80,73.23,76.8,5455,0
PDG,D,20200907,000000,77.4,82.4,76.1,78.49,4709,0
PDG,D,20200908,000000,78.49,78.49,66,74.3,20534,0
PDG,D,20200909,000000,74,77.5,73,76.5,4130,0
PDG,D,20200910,000000,77,77,75,76.8,1464,0
PDG,D,20200911,000000,76.8,79.4,76.4,79.4,1976,0
PDG,D,20200914,000000,79,79.04,75.5,77,861,0
PDG,D,20200915,000000,77,77,73.21,75,1870,0
PDG,D,20200916,000000,73.5,74.8,72.1,73.5,1859,0
PDG,D,20200917,000000,72.2,72.39,70,72.39,1517,0
PDG,D,20200918,000000,72.99,76,72.99,75,2435,0
PDG,D,20200921,000000,75.48,75.48,70.5,70.6,875,0
PDG,D,20200922,000000,71,74.49,67.02,73.98,4263,0
PDG,D,20200923,000000,73.97,73.97,69.22,71.29,3282,0
PDG,D,20200924,000000,69.1,72,67,69,5697,0
