<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWT,D,20200902,000000,74.99,89.9,68,75.01,57545,0
SWT,D,20200903,000000,76,81.88,67,67,15871,0
SWT,D,20200904,000000,66.6,70.8,61.11,67,6351,0
SWT,D,20200907,000000,68,70.8,61,64.69,3219,0
SWT,D,20200908,000000,64.99,64.99,47,54.9,11040,0
SWT,D,20200909,000000,57,65,57,63.2,3149,0
SWT,D,20200910,000000,63.2,63.2,57,61.8,1793,0
SWT,D,20200911,000000,62.5,62.5,58.2,62.4,788,0
SWT,D,20200914,000000,62.4,68.9,61.6,67.7,7495,0
SWT,D,20200915,000000,65.4,74,64.5,73.15,4586,0
SWT,D,20200916,000000,73.15,73.15,70.6,72.75,1138,0
SWT,D,20200917,000000,72.5,76.3,70.71,76.3,7017,0
SWT,D,20200918,000000,75,81.83,73.31,81.83,4430,0
SWT,D,20200921,000000,81.83,83.95,74,74.61,2207,0
SWT,D,20200922,000000,74,77,74,75,1064,0
SWT,D,20200923,000000,74.5,74.8,69,71.99,900,0
SWT,D,20200924,000000,71.99,71.99,68,70.6,269,0
