<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB,D,20080509,000000,2.5893,2.5893,1.351,1.3943,1126423,0
VRB,D,20080512,000000,1.4289,1.4721,1.299,1.3423,181503,0
VRB,D,20080513,000000,1.3423,1.4894,1.2385,1.3857,264158,0
VRB,D,20080514,000000,1.3857,1.8013,1.3423,1.7319,285247,0
VRB,D,20080515,000000,1.7579,1.7666,1.4549,1.4721,87488,0
VRB,D,20080516,000000,1.4721,1.6281,1.4376,1.4894,95797,0
VRB,D,20080519,000000,1.6281,1.6713,1.5068,1.6194,33647,0
VRB,D,20080520,000000,1.6455,1.6455,1.4721,1.5761,21149,0
VRB,D,20080521,000000,1.4721,1.5415,1.4376,1.4981,23168,0
VRB,D,20080523,000000,1.4981,1.5155,1.3597,1.4376,56625,0
VRB,D,20080526,000000,1.4376,1.5155,1.3336,1.3684,27813,0
VRB,D,20080527,000000,1.3597,1.3597,1.299,1.3163,34878,0
VRB,D,20080528,000000,1.2645,1.3249,1.2557,1.2557,37775,0
VRB,D,20080529,000000,1.2385,1.299,1.1865,1.247,27256,0
VRB,D,20080530,000000,1.2557,1.377,1.2124,1.2905,25725,0
VRB,D,20080602,000000,1.3597,1.3597,1.2385,1.2905,17941,0
VRB,D,20080603,000000,1.2557,1.2557,1.1865,1.2385,14398,0
VRB,D,20080604,000000,1.2211,1.5935,1.2211,1.4289,141904,0
VRB,D,20080605,000000,1.4116,1.4116,1.2731,1.3249,19610,0
VRB,D,20080606,000000,1.403,1.4204,1.1865,1.299,33429,0
VRB,D,20080609,000000,1.3684,1.4635,1.299,1.4462,13795,0
VRB,D,20080610,000000,1.3597,1.4462,1.3077,1.3857,6235,0
VRB,D,20080611,000000,1.4204,1.4204,1.3857,1.3857,3579,0
VRB,D,20080612,000000,1.3943,1.3943,1.2211,1.3423,8354,0
VRB,D,20080613,000000,1.3423,1.4204,1.2731,1.4204,9066,0
VRB,D,20080616,000000,1.4116,1.4116,1.299,1.3943,9408,0
VRB,D,20080617,000000,1.299,1.4721,1.2905,1.4549,42697,0
VRB,D,20080618,000000,1.3857,1.4809,1.3336,1.4116,7555,0
VRB,D,20080619,000000,1.3943,1.4462,1.3077,1.3597,11375,0
VRB,D,20080620,000000,1.3597,1.403,1.2211,1.3336,12101,0
VRB,D,20080623,000000,1.2557,1.3249,1.2124,1.2817,13207,0
VRB,D,20080624,000000,1.2817,1.3684,1.2211,1.3249,9657,0
VRB,D,20080625,000000,1.3423,1.377,1.2211,1.3249,6409,0
VRB,D,20080626,000000,1.3163,1.3423,1.2124,1.2817,9392,0
VRB,D,20080627,000000,1.2211,1.2645,1.2211,1.2645,2974,0
VRB,D,20080630,000000,1.2298,1.247,1.1432,1.247,1514,0
VRB,D,20080701,000000,1.2385,1.3336,1.1259,1.2298,7669,0
VRB,D,20080702,000000,1.1259,1.2817,1.1259,1.2298,1074,0
VRB,D,20080703,000000,1.2124,1.2124,1.1344,1.2039,1455,0
VRB,D,20080704,000000,1.2211,1.2298,1.1432,1.2298,9654,0
VRB,D,20080707,000000,1.1432,1.2124,1.0652,1.1605,11321,0
VRB,D,20080708,000000,1.1779,1.1779,1.0998,1.1605,807,0
VRB,D,20080709,000000,1.1605,1.2124,1.0998,1.1865,7798,0
VRB,D,20080710,000000,1.1085,1.1605,1.0998,1.1605,1231,0
VRB,D,20080711,000000,1.0825,1.1605,1.048,1.1605,6581,0
VRB,D,20080714,000000,1.1605,1.1605,1.048,1.0566,10785,0
VRB,D,20080715,000000,1.1259,1.1259,1.048,1.1085,3356,0
VRB,D,20080716,000000,1.1085,1.1085,1.0998,1.1085,3900,0
VRB,D,20080717,000000,1.2039,1.2211,1.1172,1.2124,1551,0
VRB,D,20080718,000000,1.0998,1.1865,1.0912,1.1865,1507,0
VRB,D,20080721,000000,1.1779,1.1779,1.1779,1.1779,68,0
VRB,D,20080722,000000,1.0566,1.1865,1.0566,1.1779,2733,0
VRB,D,20080723,000000,1.1605,1.2211,1.1605,1.2211,356,0
VRB,D,20080724,000000,1.2039,1.2039,1.0393,1.1259,6957,0
VRB,D,20080725,000000,1.1865,1.2731,1.0652,1.247,11038,0
VRB,D,20080728,000000,1.2385,1.3336,1.2385,1.299,24441,0
VRB,D,20080729,000000,1.3249,1.3249,1.2124,1.3163,7866,0
VRB,D,20080730,000000,1.1344,1.3249,1.1344,1.3249,5008,0
VRB,D,20080731,000000,1.2211,1.2905,1.2124,1.2905,6813,0
VRB,D,20080801,000000,1.3423,1.4721,1.3423,1.403,3440,0
VRB,D,20080804,000000,1.377,1.3857,1.377,1.3857,2929,0
VRB,D,20080805,000000,1.2298,1.3249,1.2298,1.3249,2453,0
VRB,D,20080806,000000,1.2124,1.299,1.2039,1.2817,5339,0
VRB,D,20080807,000000,1.2039,1.2039,1.0912,1.1865,3220,0
VRB,D,20080808,000000,1.1779,1.1951,1.1605,1.1779,3925,0
VRB,D,20080811,000000,1.3163,1.3163,1.3163,1.3163,7,0
VRB,D,20080812,000000,1.2298,1.2298,1.2298,1.2298,346,0
VRB,D,20080813,000000,1.2124,1.2124,1.1259,1.1779,1973,0
VRB,D,20080814,000000,1.1085,1.2124,1.0738,1.2124,8356,0
VRB,D,20080818,000000,1.0652,1.2124,1.0652,1.2124,463,0
VRB,D,20080819,000000,1.1432,1.1432,1.0566,1.0738,11802,0
VRB,D,20080820,000000,1.2039,1.2039,0.996,1.0219,4605,0
VRB,D,20080821,000000,1.1779,1.1779,0.9614,1.0046,9538,0
VRB,D,20080822,000000,1.1779,1.1779,1.0046,1.0393,9458,0
VRB,D,20080825,000000,1.0219,1.1085,1.0219,1.1085,3459,0
VRB,D,20080826,000000,1.0393,1.0393,1.0393,1.0393,698,0
VRB,D,20080827,000000,0.944,1.2039,0.9093,1.1865,22273,0
VRB,D,20080828,000000,1.0652,1.1605,1.0652,1.1605,118,0
VRB,D,20080829,000000,1.0393,1.1344,1.0393,1.1344,8095,0
VRB,D,20080901,000000,0.9614,1.1432,0.944,1.0652,6654,0
VRB,D,20080902,000000,1.0912,1.0912,1.0912,1.0912,117,0
VRB,D,20080903,000000,1.1432,1.1432,1.0912,1.1259,1258,0
VRB,D,20080904,000000,1.1172,1.1172,1.0393,1.1172,1850,0
VRB,D,20080905,000000,0.9787,1.0998,0.9787,1.0738,7975,0
VRB,D,20080909,000000,0.9787,1.0825,0.9787,1.0825,4747,0
VRB,D,20080910,000000,1.0652,1.1432,1.0652,1.0998,17550,0
VRB,D,20080912,000000,1.1259,1.2124,1.0652,1.1432,12529,0
VRB,D,20080915,000000,0.996,1.1259,0.9874,1.1259,2309,0
VRB,D,20080916,000000,1.0046,1.0046,0.996,0.996,2641,0
VRB,D,20080917,000000,1.0306,1.0306,1.0306,1.0306,570,0
VRB,D,20080918,000000,1.0393,1.0393,1.0393,1.0393,693,0
VRB,D,20080919,000000,1.0998,1.1259,1.0998,1.1259,4355,0
VRB,D,20080923,000000,1.0046,1.0046,1.0046,1.0046,1501,0
VRB,D,20080924,000000,1.1259,1.1259,1.1259,1.1259,579,0
VRB,D,20080925,000000,1.0393,1.0912,1.0393,1.0912,4041,0
VRB,D,20080929,000000,1.0998,1.0998,0.944,1.0393,1956,0
VRB,D,20080930,000000,1.0219,1.1172,0.9874,1.0652,3756,0
VRB,D,20081001,000000,1.1085,1.1085,1.1085,1.1085,289,0
VRB,D,20081006,000000,0.944,1.0393,0.944,1.0393,465,0
VRB,D,20081007,000000,1.0306,1.0393,1.0306,1.0393,578,0
VRB,D,20081008,000000,1.0393,1.0566,0.944,1.0566,2672,0
VRB,D,20081009,000000,0.9525,1.0652,0.9525,0.996,5383,0
VRB,D,20081010,000000,1.0738,1.1085,1.0738,1.1085,254,0
VRB,D,20081014,000000,0.996,1.0046,0.918,0.996,9173,0
VRB,D,20081016,000000,1.0825,1.0998,1.0825,1.0998,68,0
VRB,D,20081017,000000,0.9525,0.9525,0.944,0.944,3944,0
VRB,D,20081020,000000,0.8919,0.9525,0.8746,0.9525,5888,0
VRB,D,20081022,000000,1.0132,1.0132,0.996,0.996,11,0
VRB,D,20081024,000000,0.9614,0.9787,0.8834,0.9787,203,0
VRB,D,20081029,000000,0.9787,1.0046,0.97,0.97,128,0
VRB,D,20081030,000000,0.8661,0.9787,0.8313,0.9787,2235,0
VRB,D,20081031,000000,0.9525,0.9525,0.7881,0.7967,6944,0
VRB,D,20081103,000000,0.8573,0.9525,0.8573,0.8661,4770,0
VRB,D,20081104,000000,0.8919,0.9525,0.8661,0.9093,1343,0
VRB,D,20081105,000000,0.9093,0.9093,0.8227,0.8661,2957,0
VRB,D,20081106,000000,0.9093,1.0046,0.8313,0.9525,742,0
VRB,D,20081107,000000,0.9093,0.9093,0.8573,0.9093,1704,0
VRB,D,20081110,000000,0.9525,0.9525,0.9525,0.9525,117,0
VRB,D,20081113,000000,0.8661,0.8661,0.8661,0.8661,1388,0
VRB,D,20081114,000000,0.9525,0.996,0.8661,0.9874,18666,0
VRB,D,20081117,000000,1.0046,1.0046,0.9787,0.9874,11612,0
VRB,D,20081118,000000,0.9352,0.9352,0.8661,0.8661,122,0
VRB,D,20081119,000000,0.9352,0.9352,0.9352,0.9352,117,0
VRB,D,20081120,000000,0.8661,0.8661,0.8661,0.8661,11084,0
VRB,D,20081124,000000,0.9093,0.9787,0.9093,0.9787,11,0
VRB,D,20081125,000000,0.944,0.944,0.9267,0.9267,1884,0
VRB,D,20081126,000000,0.8661,0.8661,0.8661,0.8661,2885,0
VRB,D,20081127,000000,0.8661,0.8661,0.8661,0.8661,1,0
VRB,D,20081203,000000,0.8573,0.8834,0.8573,0.8661,7506,0
VRB,D,20081204,000000,0.7795,0.8661,0.7795,0.8488,4996,0
VRB,D,20081208,000000,0.8573,0.8573,0.8573,0.8573,1155,0
VRB,D,20081209,000000,0.7881,0.7881,0.7795,0.7795,2308,0
VRB,D,20081211,000000,0.8227,0.8227,0.8227,0.8227,1817,0
VRB,D,20081212,000000,0.8573,0.8573,0.8573,0.8573,35,0
VRB,D,20081215,000000,0.7449,0.8141,0.7363,0.8141,1744,0
VRB,D,20081216,000000,0.7795,0.8661,0.7795,0.8227,25926,0
VRB,D,20081217,000000,0.8573,0.8573,0.8573,0.8573,10,0
VRB,D,20081219,000000,0.7363,0.8141,0.6927,0.8141,2887,0
VRB,D,20081230,000000,0.8141,0.8141,0.6842,0.8141,82,0
VRB,D,20081231,000000,0.6842,0.6842,0.6842,0.6842,33,0
VRB,D,20090105,000000,0.8055,0.8141,0.8055,0.8141,4848,0
VRB,D,20090106,000000,0.8055,0.8055,0.6927,0.8055,266,0
VRB,D,20090108,000000,0.7967,0.7967,0.7967,0.7967,2217,0
VRB,D,20090109,000000,0.7622,0.7795,0.7622,0.7795,13857,0
VRB,D,20090116,000000,0.7795,0.7795,0.7795,0.7795,10,0
VRB,D,20090119,000000,0.7795,0.7795,0.7535,0.7795,1171,0
VRB,D,20090120,000000,0.7274,0.7274,0.7274,0.7274,1,0
VRB,D,20090121,000000,0.6927,0.6927,0.6927,0.6927,578,0
VRB,D,20090122,000000,0.7707,0.7707,0.7363,0.7363,16,0
VRB,D,20090123,000000,0.7707,0.7707,0.7707,0.7707,9,0
VRB,D,20090126,000000,0.6495,0.6927,0.6495,0.6927,9354,0
VRB,D,20090127,000000,0.7707,0.7707,0.7707,0.7707,1,0
VRB,D,20090128,000000,0.7707,0.7707,0.5889,0.7707,7738,0
VRB,D,20090130,000000,0.6062,0.7535,0.6062,0.7535,594,0
VRB,D,20090202,000000,0.7535,0.7535,0.6149,0.6842,9411,0
VRB,D,20090203,000000,0.6927,0.6927,0.5543,0.5977,5452,0
VRB,D,20090204,000000,0.5977,0.5977,0.5196,0.5977,58,0
VRB,D,20090205,000000,0.5977,0.6409,0.5977,0.6409,22,0
VRB,D,20090206,000000,0.6321,0.6321,0.5023,0.5023,947,0
VRB,D,20090209,000000,0.5023,0.5889,0.5023,0.5889,313,0
VRB,D,20090210,000000,0.511,0.5803,0.511,0.5803,2251,0
VRB,D,20090211,000000,0.5803,0.5803,0.5803,0.5803,10,0
VRB,D,20090212,000000,0.5803,0.5803,0.4849,0.5803,21048,0
VRB,D,20090213,000000,0.5803,0.5803,0.5023,0.5629,1511,0
VRB,D,20090216,000000,0.5715,0.5715,0.5023,0.5629,6190,0
VRB,D,20090217,000000,0.5629,0.5629,0.5629,0.5629,10,0
VRB,D,20090218,000000,0.5196,0.5629,0.43298,0.5543,16024,0
VRB,D,20090219,000000,0.5543,0.5543,0.45899,0.5283,5799,0
VRB,D,20090220,000000,0.5543,0.5543,0.5543,0.5543,3720,0
VRB,D,20090223,000000,0.5543,0.5543,0.5543,0.5543,10,0
VRB,D,20090224,000000,0.5543,0.5543,0.5543,0.5543,10,0
VRB,D,20090225,000000,0.5629,0.5715,0.5629,0.5715,807,0
VRB,D,20090226,000000,0.5715,0.5715,0.511,0.5629,93,0
VRB,D,20090227,000000,0.5715,0.5715,0.5715,0.5715,22,0
VRB,D,20090302,000000,0.5715,0.5715,0.5715,0.5715,57,0
VRB,D,20090303,000000,0.5715,0.5715,0.5715,0.5715,22,0
VRB,D,20090305,000000,0.5715,0.5715,0.5715,0.5715,57,0
VRB,D,20090306,000000,0.5715,0.5715,0.5715,0.5715,35,0
VRB,D,20090309,000000,0.5715,0.6409,0.5715,0.6409,9501,0
VRB,D,20090310,000000,0.6409,0.6409,0.6409,0.6409,328,0
VRB,D,20090311,000000,0.6409,0.6409,0.6409,0.6409,57,0
VRB,D,20090312,000000,0.6409,0.6409,0.6409,0.6409,57,0
VRB,D,20090313,000000,0.6409,0.6409,0.6409,0.6409,35,0
VRB,D,20090316,000000,0.6409,0.6409,0.6409,0.6409,35,0
VRB,D,20090317,000000,0.6409,0.7535,0.6409,0.7535,17729,0
VRB,D,20090318,000000,0.7535,0.7795,0.7535,0.7795,868,0
VRB,D,20090319,000000,0.7795,0.7795,0.6409,0.7795,12724,0
VRB,D,20090320,000000,0.7707,0.7707,0.7707,0.7707,10,0
VRB,D,20090323,000000,0.7707,0.7707,0.6409,0.7707,1470,0
VRB,D,20090324,000000,0.7622,0.7622,0.7622,0.7622,22,0
VRB,D,20090325,000000,0.7535,0.7535,0.7535,0.7535,22,0
VRB,D,20090326,000000,0.7622,0.8488,0.7622,0.8227,9531,0
VRB,D,20090327,000000,0.8573,0.8573,0.8573,0.8573,1177,0
VRB,D,20090330,000000,0.8573,0.8573,0.8573,0.8573,22,0
VRB,D,20090331,000000,0.8573,0.944,0.7795,0.944,5959,0
VRB,D,20090401,000000,0.8227,0.9525,0.8227,0.9525,1213,0
VRB,D,20090403,000000,0.9525,0.9525,0.7795,0.9525,5913,0
VRB,D,20090406,000000,0.996,1.1432,0.7795,0.9093,17019,0
